Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
1	6.2001689999997325	37.365623235702515	1.0	0.5	0.6	1.0
2	10.176724199999626	37.340187191963196	1.0	0.5	0.6	1.0
3	14.100432499999442	37.29738795757294	1.0	0.5	0.6	1.0
4	18.136661300000014	37.237746715545654	1.0	0.5	0.6	1.0
5	22.15445809999983	37.15983998775482	1.0	0.5	0.6	1.0
6	26.127879399999983	37.07482874393463	1.0	0.5	0.6	1.0
7	30.008412399999543	36.950764536857605	1.0	0.5	0.6	1.0
8	33.96958590000031	36.81372857093811	1.0	0.5	0.6	1.0
9	37.9224850999999	36.63104546070099	1.0	0.5	0.6	1.0
10	41.91232779999973	36.38939726352692	1.0	0.5	0.6	1.0
11	45.89625679999972	36.07803928852081	1.0	0.5	0.6	1.0
12	49.88132659999974	35.67566502094269	1.0	0.6666666666666666	0.6	1.0
13	53.83329659999981	35.198572278022766	1.0	0.6666666666666666	0.6	1.0
14	57.78243019999991	34.521533727645874	1.0	0.6666666666666666	0.6	1.0
15	61.70870620000005	33.6073340177536	1.0	0.6666666666666666	0.6	1.0
16	65.7715578999996	32.64804416894913	1.0	0.6666666666666666	0.6	1.0
17	69.81127759999981	31.451231777668	1.0	0.6666666666666666	0.6	1.0
18	73.74902139999995	30.498108625411987	1.0	0.6666666666666666	0.6	1.0
19	77.73185659999945	29.812912106513977	1.0	0.6666666666666666	0.6	1.0
20	81.71558349999941	29.345961093902588	1.0	0.5	0.6	1.0
21	85.71792110000024	29.01576891541481	1.0	0.5	0.6	1.0
22	89.6686424999998	28.710399448871613	1.0	0.5	0.6	1.0
23	93.66012890000002	28.495006173849106	1.0	0.5	0.6	1.0
24	97.71113609999975	28.275547981262207	1.0	0.6666666666666666	0.6	1.0
